full_geoid,state,name,wiki_url
05000US04015,AZ,Mohave County,"https://en.wikipedia.org/wiki/Mohave_County,_Arizona"
05000US04017,AZ,Navajo County,"https://en.wikipedia.org/wiki/Navajo_County,_Arizona"
05000US04019,AZ,Pima County,"https://en.wikipedia.org/wiki/Pima_County,_Arizona"
05000US04021,AZ,Pinal County,"https://en.wikipedia.org/wiki/Pinal_County,_Arizona"
05000US04023,AZ,Santa Cruz County,"https://en.wikipedia.org/wiki/Santa_Cruz_County,_Arizona"
05000US04025,AZ,Yavapai County,"https://en.wikipedia.org/wiki/Yavapai_County,_Arizona"
05000US04027,AZ,Yuma County,"https://en.wikipedia.org/wiki/Yuma_County,_Arizona"
05000US05001,AR,Arkansas County,"https://en.wikipedia.org/wiki/Arkansas_County,_Arkansas"
05000US05003,AR,Ashley County,"https://en.wikipedia.org/wiki/Ashley_County,_Arkansas"
05000US05005,AR,Baxter County,"https://en.wikipedia.org/wiki/Baxter_County,_Arkansas"
05000US05007,AR,Benton County,"https://en.wikipedia.org/wiki/Benton_County,_Arkansas"
05000US05009,AR,Boone County,"https://en.wikipedia.org/wiki/Boone_County,_Arkansas"
05000US05011,AR,Bradley County,"https://en.wikipedia.org/wiki/Bradley_County,_Arkansas"
05000US05013,AR,Calhoun County,"https://en.wikipedia.org/wiki/Calhoun_County,_Arkansas"
05000US05015,AR,Carroll County,"https://en.wikipedia.org/wiki/Carroll_County,_Arkansas"
05000US05017,AR,Chicot County,"https://en.wikipedia.org/wiki/Chicot_County,_Arkansas"
05000US05019,AR,Clark County,"https://en.wikipedia.org/wiki/Clark_County,_Arkansas"
05000US05021,AR,Clay County,"https://en.wikipedia.org/wiki/Clay_County,_Arkansas"
05000US05023,AR,Cleburne County,"https://en.wikipedia.org/wiki/Cleburne_County,_Arkansas"
05000US05025,AR,Cleveland County,"https://en.wikipedia.org/wiki/Cleveland_County,_Arkansas"
05000US05027,AR,Columbia County,"https://en.wikipedia.org/wiki/Columbia_County,_Arkansas"
05000US05029,AR,Conway County,"https://en.wikipedia.org/wiki/Conway_County,_Arkansas"
05000US05031,AR,Craighead County,"https://en.wikipedia.org/wiki/Craighead_County,_Arkansas"
05000US05033,AR,Crawford County,"https://en.wikipedia.org/wiki/Crawford_County,_Arkansas"
05000US05035,AR,Crittenden County,"https://en.wikipedia.org/wiki/Crittenden_County,_Arkansas"
05000US05037,AR,Cross County,"https://en.wikipedia.org/wiki/Cross_County,_Arkansas"
05000US05039,AR,Dallas County,"https://en.wikipedia.org/wiki/Dallas_County,_Arkansas"
05000US05041,AR,Desha County,"https://en.wikipedia.org/wiki/Desha_County,_Arkansas"
05000US05043,AR,Drew County,"https://en.wikipedia.org/wiki/Drew_County,_Arkansas"
05000US05045,AR,Faulkner County,"https://en.wikipedia.org/wiki/Faulkner_County,_Arkansas"
05000US05047,AR,Franklin County,"https://en.wikipedia.org/wiki/Franklin_County,_Arkansas"
05000US05049,AR,Fulton County,"https://en.wikipedia.org/wiki/Fulton_County,_Arkansas"
05000US05051,AR,Garland County,"https://en.wikipedia.org/wiki/Garland_County,_Arkansas"
05000US05053,AR,Grant County,"https://en.wikipedia.org/wiki/Grant_County,_Arkansas"
05000US05055,AR,Greene County,"https://en.wikipedia.org/wiki/Greene_County,_Arkansas"
05000US05057,AR,Hempstead County,"https://en.wikipedia.org/wiki/Hempstead_County,_Arkansas"
05000US05059,AR,Hot Spring County,"https://en.wikipedia.org/wiki/Hot_Spring_County,_Arkansas"
05000US05061,AR,Howard County,"https://en.wikipedia.org/wiki/Howard_County,_Arkansas"
05000US05063,AR,Independence County,"https://en.wikipedia.org/wiki/Independence_County,_Arkansas"
05000US05065,AR,Izard County,"https://en.wikipedia.org/wiki/Izard_County,_Arkansas"
05000US05067,AR,Jackson County,"https://en.wikipedia.org/wiki/Jackson_County,_Arkansas"
05000US05069,AR,Jefferson County,"https://en.wikipedia.org/wiki/Jefferson_County,_Arkansas"
05000US05071,AR,Johnson County,"https://en.wikipedia.org/wiki/Johnson_County,_Arkansas"
05000US05073,AR,Lafayette County,"https://en.wikipedia.org/wiki/Lafayette_County,_Arkansas"
05000US05075,AR,Lawrence County,"https://en.wikipedia.org/wiki/Lawrence_County,_Arkansas"
05000US05077,AR,Lee County,"https://en.wikipedia.org/wiki/Lee_County,_Arkansas"
05000US05079,AR,Lincoln County,"https://en.wikipedia.org/wiki/Lincoln_County,_Arkansas"
05000US05081,AR,Little River County,"https://en.wikipedia.org/wiki/Little_River_County,_Arkansas"
05000US05083,AR,Logan County,"https://en.wikipedia.org/wiki/Logan_County,_Arkansas"
05000US05085,AR,Lonoke County,"https://en.wikipedia.org/wiki/Lonoke_County,_Arkansas"
05000US05087,AR,Madison County,"https://en.wikipedia.org/wiki/Madison_County,_Arkansas"
05000US05089,AR,Marion County,"https://en.wikipedia.org/wiki/Marion_County,_Arkansas"
05000US05091,AR,Miller County,"https://en.wikipedia.org/wiki/Miller_County,_Arkansas"
05000US05093,AR,Mississippi County,"https://en.wikipedia.org/wiki/Mississippi_County,_Arkansas"
05000US05095,AR,Monroe County,"https://en.wikipedia.org/wiki/Monroe_County,_Arkansas"
05000US05097,AR,Montgomery County,"https://en.wikipedia.org/wiki/Montgomery_County,_Arkansas"
05000US05099,AR,Nevada County,"https://en.wikipedia.org/wiki/Nevada_County,_Arkansas"
05000US05101,AR,Newton County,"https://en.wikipedia.org/wiki/Newton_County,_Arkansas"
05000US05103,AR,Ouachita County,"https://en.wikipedia.org/wiki/Ouachita_County,_Arkansas"
05000US05105,AR,Perry County,"https://en.wikipedia.org/wiki/Perry_County,_Arkansas"
05000US05107,AR,Phillips County,"https://en.wikipedia.org/wiki/Phillips_County,_Arkansas"
05000US05109,AR,Pike County,"https://en.wikipedia.org/wiki/Pike_County,_Arkansas"
05000US05111,AR,Poinsett County,"https://en.wikipedia.org/wiki/Poinsett_County,_Arkansas"
05000US05113,AR,Polk County,"https://en.wikipedia.org/wiki/Polk_County,_Arkansas"
05000US05115,AR,Pope County,"https://en.wikipedia.org/wiki/Pope_County,_Arkansas"
05000US05117,AR,Prairie County,"https://en.wikipedia.org/wiki/Prairie_County,_Arkansas"
05000US05119,AR,Pulaski County,"https://en.wikipedia.org/wiki/Pulaski_County,_Arkansas"
05000US05121,AR,Randolph County,"https://en.wikipedia.org/wiki/Randolph_County,_Arkansas"
05000US05123,AR,St. Francis County,"https://en.wikipedia.org/wiki/St._Francis_County,_Arkansas"
05000US05125,AR,Saline County,"https://en.wikipedia.org/wiki/Saline_County,_Arkansas"
05000US05127,AR,Scott County,"https://en.wikipedia.org/wiki/Scott_County,_Arkansas"
05000US05129,AR,Searcy County,"https://en.wikipedia.org/wiki/Searcy_County,_Arkansas"
05000US05131,AR,Sebastian County,"https://en.wikipedia.org/wiki/Sebastian_County,_Arkansas"
05000US05133,AR,Sevier County,"https://en.wikipedia.org/wiki/Sevier_County,_Arkansas"
05000US05135,AR,Sharp County,"https://en.wikipedia.org/wiki/Sharp_County,_Arkansas"
05000US05137,AR,Stone County,"https://en.wikipedia.org/wiki/Stone_County,_Arkansas"
05000US05139,AR,Union County,"https://en.wikipedia.org/wiki/Union_County,_Arkansas"
05000US05141,AR,Van Buren County,"https://en.wikipedia.org/wiki/Van_Buren_County,_Arkansas"
05000US05143,AR,Washington County,"https://en.wikipedia.org/wiki/Washington_County,_Arkansas"
05000US05145,AR,White County,"https://en.wikipedia.org/wiki/White_County,_Arkansas"
05000US05147,AR,Woodruff County,"https://en.wikipedia.org/wiki/Woodruff_County,_Arkansas"
05000US05149,AR,Yell County,"https://en.wikipedia.org/wiki/Yell_County,_Arkansas"
05000US06001,CA,Alameda County,"https://en.wikipedia.org/wiki/Alameda_County,_California"
05000US06003,CA,Alpine County,"https://en.wikipedia.org/wiki/Alpine_County,_California"
05000US06005,CA,Amador County,"https://en.wikipedia.org/wiki/Amador_County,_California"
05000US06007,CA,Butte County,"https://en.wikipedia.org/wiki/Butte_County,_California"
05000US06009,CA,Calaveras County,"https://en.wikipedia.org/wiki/Calaveras_County,_California"
05000US06011,CA,Colusa County,"https://en.wikipedia.org/wiki/Colusa_County,_California"
05000US06013,CA,Contra Costa County,"https://en.wikipedia.org/wiki/Contra_Costa_County,_California"
05000US06015,CA,Del Norte County,"https://en.wikipedia.org/wiki/Del_Norte_County,_California"
05000US06017,CA,El Dorado County,"https://en.wikipedia.org/wiki/El_Dorado_County,_California"
05000US06019,CA,Fresno County,"https://en.wikipedia.org/wiki/Fresno_County,_California"
05000US06021,CA,Glenn County,"https://en.wikipedia.org/wiki/Glenn_County,_California"
05000US06023,CA,Humboldt County,"https://en.wikipedia.org/wiki/Humboldt_County,_California"
05000US06025,CA,Imperial County,"https://en.wikipedia.org/wiki/Imperial_County,_California"
05000US06027,CA,Inyo County,"https://en.wikipedia.org/wiki/Inyo_County,_California"
05000US06029,CA,Kern County,"https://en.wikipedia.org/wiki/Kern_County,_California"
05000US06031,CA,Kings County,"https://en.wikipedia.org/wiki/Kings_County,_California"
05000US06033,CA,Lake County,"https://en.wikipedia.org/wiki/Lake_County,_California"
05000US06035,CA,Lassen County,"https://en.wikipedia.org/wiki/Lassen_County,_California"
05000US06037,CA,Los Angeles County,"https://en.wikipedia.org/wiki/Los_Angeles_County,_California"
05000US06039,CA,Madera County,"https://en.wikipedia.org/wiki/Madera_County,_California"
05000US06041,CA,Marin County,"https://en.wikipedia.org/wiki/Marin_County,_California"
05000US06043,CA,Mariposa County,"https://en.wikipedia.org/wiki/Mariposa_County,_California"
05000US06045,CA,Mendocino County,"https://en.wikipedia.org/wiki/Mendocino_County,_California"
05000US06047,CA,Merced County,"https://en.wikipedia.org/wiki/Merced_County,_California"
05000US06049,CA,Modoc County,"https://en.wikipedia.org/wiki/Modoc_County,_California"
05000US06051,CA,Mono County,"https://en.wikipedia.org/wiki/Mono_County,_California"
05000US06053,CA,Monterey County,"https://en.wikipedia.org/wiki/Monterey_County,_California"
05000US06055,CA,Napa County,"https://en.wikipedia.org/wiki/Napa_County,_California"
05000US06057,CA,Nevada County,"https://en.wikipedia.org/wiki/Nevada_County,_California"
05000US06059,CA,Orange County,"https://en.wikipedia.org/wiki/Orange_County,_California"
